"age.min";"age.max";"code_dep";"year";"all";"male";"female"
15;19;"52";2012;10296;5434;4862
15;19;"46";2012;9041;4708;4333
15;19;"69";2012;117937;58307;59630
15;19;"32";2012;9532;5054;4478
15;19;"26";2012;29211;15161;14050
15;19;"88";2012;22432;11721;10711
15;19;"22";2012;32282;16790;15492
15;19;"53";2012;17406;9205;8201
15;19;"39";2012;15060;7704;7356
15;19;"62";2012;93824;48233;45591
15;19;"56";2012;40861;21171;19690
15;19;"27";2012;35784;18303;17481
15;19;"89";2012;18762;9735;9027
15;19;"83";2012;56964;29455;27509
15;19;"77";2012;89364;45933;43431
15;19;"40";2012;19545;10253;9292
15;19;"63";2012;39309;19706;19603
15;19;"57";2012;62745;32446;30299
15;19;"28";2012;25067;13087;11980
15;19;"90";2012;9439;5166;4273
15;19;"84";2012;32780;16659;16121
15;19;"47";2012;17688;9202;8486
15;19;"70";2012;13425;6913;6512
15;19;"33";2012;92004;46423;45581
15;19;"58";2012;11322;5909;5413
15;19;"29";2012;52959;27456;25503
15;19;"23";2012;5981;3072;2909
15;19;"54";2012;49988;25412;24576
15;19;"48";2012;3922;2167;1755
15;19;"71";2012;30585;16230;14355
15;19;"34";2012;64680;32655;32025
15;19;"59";2012;177049;90137;86912
15;19;"30";2012;42777;21919;20858
15;19;"24";2012;20260;10468;9792
15;19;"78";2012;92123;46634;45489
15;19;"41";2012;18252;9413;8839
15;19;"64";2012;37872;19709;18163
15;19;"35";2012;64730;32661;32069
15;19;"60";2012;52036;26983;25053
15;19;"91";2012;79756;40797;38959
15;19;"93";2012;100739;50654;50085
15;19;"95";2012;82382;41804;40578
15;19;"42";2012;46403;23613;22790
15;19;"65";2012;12851;6735;6116
15;19;"36";2012;11845;6011;5834
15;19;"02";2012;33425;17295;16130
15;19;"92";2012;89217;44973;44244
15;19;"94";2012;80910;41238;39672
15;19;"971";2012;30792;15755;15037
15;19;"72";2012;33798;17413;16385
15;19;"66";2012;25010;13016;11994
15;19;"01";2012;36162;18535;17627
15;19;"03";2012;18123;9427;8696
15;19;"05";2012;7479;3939;3540
15;19;"07";2012;17301;8916;8385
15;19;"972";2012;29421;14763;14658
15;19;"974";2012;71254;35775;35479
15;19;"16";2012;19402;10100;9302
15;19;"10";2012;19083;10117;8966
15;19;"04";2012;9381;4993;4388
15;19;"06";2012;61306;31533;29773
15;19;"08";2012;16760;8893;7867
15;19;"973";2012;21401;10729;10672
15;19;"15";2012;6987;3675;3312
15;19;"17";2012;34710;18316;16394
15;19;"11";2012;19434;9971;9463
15;19;"13";2012;127420;65481;61939
15;19;"18";2012;17281;9086;8195
15;19;"09";2012;7760;4093;3667
15;19;"14";2012;45711;23025;22686
15;19;"19";2012;12754;7067;5687
15;19;"12";2012;14206;7499;6707
20;24;"49";2012;52172;26151;26021
20;24;"79";2012;18439;9700;8739
20;24;"73";2012;23571;12275;11296
20;24;"86";2012;31231;14926;16305
20;24;"80";2012;39940;20146;19794
20;24;"43";2012;10160;5387;4773
20;24;"55";2012;11124;5911;5213
20;24;"01";2012;31268;16330;14938
20;24;"91";2012;81878;42275;39603
20;24;"85";2012;30219;15700;14519
20;24;"87";2012;23268;11312;11956
20;24;"50";2012;24797;13058;11739
20;24;"44";2012;83754;42795;40959
20;24;"67";2012;77881;37965;39916
20;24;"61";2012;14567;7420;7147
20;24;"92";2012;102815;50298;52517
20;24;"57";2012;66785;34938;31847
20;24;"88";2012;20301;10658;9643
20;24;"74";2012;40126;21368;18758
20;24;"37";2012;41724;20275;21449
20;24;"68";2012;43555;22188;21367
20;24;"31";2012;102362;51209;51153
20;24;"56";2012;35480;18950;16530
20;24;"27";2012;32009;16365;15644
20;24;"81";2012;17764;9235;8529
20;24;"75";2012;190328;85544;104784
20;24;"38";2012;81012;42173;38839
20;24;"02";2012;31121;15952;15169
20;24;"32";2012;7533;3900;3633
20;24;"94";2012;93425;45126;48299
20;24;"28";2012;22403;11542;10861
20;24;"51";2012;41822;21248;20574
20;24;"45";2012;40452;20694;19758
